host_name,Datetime,CPU Utilization,Disk Read Operations,Disk Write Operations,Network Packets Recieved,Network Packets Sent,Raw Disk Read Utilization,Raw Disk Write Utilization,Raw Net Recieved Utilization,Raw Net Sent Utilization
7095824396664797056,2017-07-23 07:15:00,1.01336969063,0.0,8.8,89.6,2.8,0.0,65077.6,9352.0,636.6
7095824396664797056,2017-07-23 07:20:00,1.01437410038,0.0,10.2,90.6,1.8,0.0,80740.2,9001.2,54.2
7095824396664797056,2017-07-23 07:25:00,1.01259986518,0.0,8.4,87.8,0.2,0.0,62739.8,9148.6,54.8
7095824396664797056,2017-07-23 07:30:00,1.04149808151,0.0,8.25,92.0,2.4,0.0,66693.8,9314.8,456.2
7095824396664797056,2017-07-23 07:35:00,1.01310586248,0.0,8.8,88.2,0.0,0.0,67851.2,9037.0,0.0
7095824396664797056,2017-07-23 07:40:00,1.01165323553,0.0,8.0,89.6,0.0,0.0,62259.2,9129.6,0.0
7095824396664797056,2017-07-23 07:45:00,1.01372409251,0.0,8.0,85.8,0.0,0.0,62259.2,8903.0,0.0
7095824396664797056,2017-07-23 07:50:00,1.0130908564,0.0,8.6,90.0,0.0,0.0,63221.0,9074.4,0.0
7095824396664797056,2017-07-23 07:55:00,1.03806501733,0.0,8.0,85.2,0.0,0.0,62258.8,8631.0,0.0
7095824396664797056,2017-07-23 08:00:00,1.01287264441,0.0,8.0,87.4,0.4,0.0,62259.6,8933.0,16.8
7095824396664797056,2017-07-23 08:05:00,1.01351540565,0.0,8.0,87.4,0.0,0.0,62259.0,8835.6,0.0
7095824396664797056,2017-07-23 08:10:00,1.01266652595,0.0,9.0,89.8,4.0,0.0,67174.2,9309.4,814.2
7095824396664797056,2017-07-23 08:15:00,1.0135418181,0.0,8.0,88.2,0.8,0.0,62259.6,9002.0,32.0
7095824396664797056,2017-07-23 08:20:00,1.01271166805,0.0,9.4,87.2,0.0,0.0,75246.0,8884.8,0.0
7095824396664797056,2017-07-23 08:25:00,1.03898723485,0.0,8.0,89.4,0.0,0.0,62259.2,9111.0,0.0
7095824396664797056,2017-07-23 08:30:00,1.01193533406,0.0,8.2,86.6,0.0,0.0,69249.4,8845.6,0.0
7095824396664797056,2017-07-23 08:35:00,1.01176027289,0.0,8.0,81.6,0.0,0.0,62259.0,8473.8,0.0
7095824396664797056,2017-07-23 08:40:00,1.01344383672,0.0,8.0,86.8,0.0,0.0,62379.4,8610.8,0.0
7095824396664797056,2017-07-23 08:45:00,1.01385207914,0.0,9.4,82.8,2.0,0.0,69173.6,9002.2,568.2
7095824396664797056,2017-07-23 08:50:00,1.04133656427,0.0,9.8,91.2,2.8,0.0,74569.2,9162.8,448.2
7095824396664797056,2017-07-23 08:55:00,1.01243714303,0.0,8.0,89.4,0.0,0.0,62259.0,9163.4,0.0
